date,max,min
1/04/2019,17.2,8.8
2/04/2019,18.0,7.4
3/04/2019,15.1,6.5
4/04/2019,14.0,2.5
5/04/2019,10.0,4.5
6/04/2019,12.1,2.9
7/04/2019,13.8,3.7
8/04/2019,17.0,6.9
9/04/2019,13.5,5.6
10/04/2019,15.7,6.5
11/04/2019,16.5,5.2
12/04/2019,19.5,4.0
13/04/2019,22.0,6.0
14/04/2019,24.0,10.0
15/04/2019,24.6,11.5
16/04/2019,22.0,7.9
17/04/2019,23.7,10.1
18/04/2019,13.0,9.1
19/04/2019,11.6,9.3
20/04/2019,19.5,9.4
21/04/2019,13.2,8.5
22/04/2019,19.0,8.0
23/04/2019,14.2,5.7
24/04/2019,11.4,5.4
25/04/2019,13.7,6.4
26/04/2019,18.0,7.2
27/04/2019,21.5,6.3
28/04/2019,24.0,11.0
29/04/2019,25.7,13.0
30/04/2019,26.0,13.5
1/05/2019,26.0,13.5
2/05/2019,25.4,13.0
3/05/2019,21.6,10.1
4/05/2019,22.3,7.2
5/05/2019,22.7,8.7
6/05/2019,25.0,9.0
7/05/2019,23.4,12.2
8/05/2019,19.3,13.1
9/05/2019,23.2,10.2
10/05/2019,24.7,14.8
11/05/2019,27.4,13.2
12/05/2019,26.9,10.0
13/05/2019,30.2,13.2
14/05/2019,28.5,13.6
15/05/2019,33.5,14.5
16/05/2019,30.0,11.0
17/05/2019,18.7,10.1
18/05/2019,18.7,8.0
19/05/2019,20.5,10.0
20/05/2019,21.7,9.7
21/05/2019,25.8,13.5
22/05/2019,28.2,13.2
23/05/2019,28.3,15.0
24/05/2019,25.6,13.2
25/05/2019,25.3,12.1
26/05/2019,27.5,10.8
27/05/2019,29.2,14.2
28/05/2019,27.0,13.4
29/05/2019,26.5,11.0
30/05/2019,30.3,14.0
31/05/2019,32.0,17.0
1/06/2019,33.1,17.2
2/06/2019,34.5,19.0
3/06/2019,32.8,20.3
4/06/2019,29.0,18.9
5/06/2019,22.1,12.7
6/06/2019,24.0,11.0
7/06/2019,22.0,9.0
8/06/2019,29.2,12.8
9/06/2019,27.7,14.2
10/06/2019,26.4,14.7
11/06/2019,21.0,14.0
12/06/2019,25.4,10.0
13/06/2019,28.5,14.4
14/06/2019,25.5,14.9
15/06/2019,25.7,12.0
16/06/2019,28.6,14.5
17/06/2019,32.0,16.0
18/06/2019,31.3,19.2
19/06/2019,27.0,18.0
20/06/2019,28.5,17.5
21/06/2019,29.6,17.7
22/06/2019,31.4,16.8
23/06/2019,33.4,18.5
24/06/2019,32.0,21.3
25/06/2019,34.2,19.3
26/06/2019,35.5,22.5
27/06/2019,38.5,22.7
28/06/2019,40.7,24.0
29/06/2019,40.0,24.5
30/06/2019,38.5,25.0
1/07/2019,36.3,23.8
2/07/2019,35.5,23.0
3/07/2019,35.2,22.0
4/07/2019,33.2,23.1
5/07/2019,33.7,21.6
6/07/2019,34.9,19.7
7/07/2019,34.5,19.5
8/07/2019,30.8,19.5
9/07/2019,30.1,17.5
10/07/2019,33.1,18.2
11/07/2019,37.0,20.8
12/07/2019,38.8,24.2
13/07/2019,35.0,24.1
14/07/2019,33.1,21.6
15/07/2019,35.6,20.4
16/07/2019,36.8,22.0
17/07/2019,34.2,22.6
18/07/2019,35.7,21.5
19/07/2019,37.1,23.1
20/07/2019,37.3,24.4
21/07/2019,38.0,23.8
22/07/2019,37.2,23.7
23/07/2019,38.0,23.7
24/07/2019,37.5,22.8
25/07/2019,36.3,24.4
26/07/2019,32.0,21.8
27/07/2019,27.0,19.0
28/07/2019,30.0,16.2
29/07/2019,33.3,19.7
30/07/2019,31.5,17.4
31/07/2019,33.8,18.4
1/08/2019,34.3,20.5
2/08/2019,35.6,22.4
3/08/2019,36.0,22.2
4/08/2019,36.0,21.3
5/08/2019,36.3,21.5
6/08/2019,35.4,21.1
7/08/2019,26.9,21.5
8/08/2019,33.5,19.5
9/08/2019,31.4,21.8
10/08/2019,31.6,19.0
11/08/2019,29.6,20.0
12/08/2019,27.4,15.5
13/08/2019,29.3,15.7
14/08/2019,32.7,18.0
15/08/2019,35.6,20.5
16/08/2019,36.0,22.1
17/08/2019,37.2,22.2
18/08/2019,35.0,20.6
19/08/2019,33.4,21.4
20/08/2019,30.0,20.2
21/08/2019,30.2,17.7
22/08/2019,31.0,17.0
23/08/2019,32.3,20.0
24/08/2019,33.6,20.5
25/08/2019,34.0,21.6
26/08/2019,26.4,15.4
27/08/2019,26.2,15.0
28/08/2019,30.2,18.4
29/08/2019,32.5,20.0
30/08/2019,34.2,20.0
31/08/2019,32.0,18.0
1/09/2019,31.9,20.5
2/09/2019,30.6,18.2
3/09/2019,31.5,18.8
4/09/2019,32.7,19.5
5/09/2019,27.7,15.5
6/09/2019,26.0,12.4
7/09/2019,27.5,14.0
8/09/2019,28.7,16.8
9/09/2019,29.8,16.5
10/09/2019,22.0,14.2
11/09/2019,26.0,14.4
12/09/2019,28.4,15.8
13/09/2019,20.7,14.7
14/09/2019,20.5,15.6
15/09/2019,22.0,15.5
16/09/2019,25.3,16.6
17/09/2019,28.4,17.0
18/09/2019,27.1,17.0
19/09/2019,29.0,17.5
20/09/2019,25.0,16.4
21/09/2019,21.5,14.6
22/09/2019,23.7,15.2
23/09/2019,23.0,12.0
24/09/2019,26.5,13.0
25/09/2019,23.9,14.0
26/09/2019,26.5,15.4
27/09/2019,28.2,14.8
28/09/2019,27.5,15.2
29/09/2019,29.9,15.2
30/09/2019,29.0,14.0
1/10/2019,26.5,14.0
2/10/2019,22.2,14.0
3/10/2019,24.2,11.8
4/10/2019,26.3,13.5
5/10/2019,26.0,14.3
6/10/2019,26.5,13.5
7/10/2019,26.6,15.0
8/10/2019,28.0,15.1
9/10/2019,27.0,16.0
10/10/2019,24.7,15.1
11/10/2019,25.3,16.0
12/10/2019,26.0,15.7
13/10/2019,22.6,15.2
14/10/2019,19.5,8.4
15/10/2019,16.3,7.0
16/10/2019,18.4,7.8
17/10/2019,15.9,9.7
18/10/2019,19.8,14.0
19/10/2019,17.0,11.3
20/10/2019,12.5,6.8
21/10/2019,14.4,6.3
22/10/2019,11.0,8.3
23/10/2019,10.2,7.0
24/10/2019,16.5,7.5
25/10/2019,18.6,8.2
26/10/2019,20.9,9.5
27/10/2019,20.9,10.6
28/10/2019,21.2,13.4
29/10/2019,17.6,11.0
30/10/2019,18.0,10.8
31/10/2019,21.7,14.2
1/11/2019,19.3,14.3
2/11/2019,18.6,13.2
3/11/2019,16.5,12.6
4/11/2019,16.6,8.7
5/11/2019,14.7,7.7
6/11/2019,13.7,7.4
7/11/2019,12.6,3.7
8/11/2019,12.4,4.3
9/11/2019,11.5,5.2
10/11/2019,9.6,4.5
11/11/2019,11.8,3.9
12/11/2019,12.6,4.2
13/11/2019,15.0,9.0
14/11/2019,10.2,4.9
15/11/2019,9.2,4.2
16/11/2019,9.9,1.5
17/11/2019,7.8,3.5
18/11/2019,10.5,3.0
19/11/2019,9.4,0.7
20/11/2019,8.6,3.2
21/11/2019,8.8,5.5
22/11/2019,11.4,6.4
23/11/2019,11.7,6.5
24/11/2019,11.8,6.0
25/11/2019,15.6,8.5
26/11/2019,13.4,9.5
27/11/2019,13.3,9.6
28/11/2019,11.7,8.0
29/11/2019,14.3,11.0
30/11/2019,14.9,8.5
1/12/2019,8.7,6.2
2/12/2019,10.8,5.3
3/12/2019,9.0,2.8
4/12/2019,11.6,5.4
5/12/2019,12.0,7.9
6/12/2019,12.5,6.7
7/12/2019,12.0,3.7
8/12/2019,7.0,4.1
9/12/2019,11.6,4.7
10/12/2019,8.0,3.9
11/12/2019,11.0,3.8
12/12/2019,9.7,4.5
13/12/2019,14.5,8.5
14/12/2019,12.5,6.8
15/12/2019,11.8,7.2
16/12/2019,14.2,6.8
17/12/2019,11.2,7.1
18/12/2019,9.5,4.0
19/12/2019,12.3,7.2
20/12/2019,12.8,10.7
21/12/2019,16.0,10.4
22/12/2019,13.5,9.0
23/12/2019,12.3,5.5
24/12/2019,14.0,5.9
25/12/2019,15.0,5.6
26/12/2019,14.5,6.1
27/12/2019,13.5,4.3
28/12/2019,13.9,2.5
29/12/2019,13.2,2.5
30/12/2019,11.5,2.5
31/12/2019,11.4,2.3
1/01/2020,11.2,1.9
2/01/2020,10.5,1.6
3/01/2020,6.0,1.5
4/01/2020,11.2,2.8
5/01/2020,10.9,1.5
6/01/2020,12.0,1.4
7/01/2020,12.0,0.8
8/01/2020,13.5,1.8
9/01/2020,11.5,4.0
10/01/2020,10.8,4.2
11/01/2020,10.4,2.0
12/01/2020,9.0,-0.7
13/01/2020,8.5,-0.5
14/01/2020,8.4,-0.5
15/01/2020,8.3,3.3
16/01/2020,12.8,7.2
17/01/2020,12.5,4.8
18/01/2020,8.5,5.3
19/01/2020,10.1,3.1
20/01/2020,5.7,1.7
21/01/2020,7.3,3.6
22/01/2020,10.0,4.4
23/01/2020,10.0,3.2
24/01/2020,9.2,6.2
25/01/2020,9.6,5.8
26/01/2020,10.1,3.0
27/01/2020,9.0,3.0
28/01/2020,12.4,8.0
29/01/2020,13.7,9.9
30/01/2020,11.8,8.4
31/01/2020,15.7,9.5
1/02/2020,17.5,10.4
2/02/2020,12.7,10.6
3/02/2020,17.4,8.1
4/02/2020,16.8,6.5
5/02/2020,13.0,4.7
6/02/2020,10.2,4.5
7/02/2020,11.6,5.2
8/02/2020,11.0,6.2
9/02/2020,11.4,7.5
10/02/2020,15.5,7.2
11/02/2020,13.0,7.5
12/02/2020,11.3,9.7
13/02/2020,14.3,7.8
14/02/2020,13.5,6.9
15/02/2020,15.4,4.9
16/02/2020,17.0,5.4
17/02/2020,14.0,6.8
18/02/2020,13.4,5.7
